WaterbodyID,COMID_Final,Outlier_COMID,DIST_Catv2,DistCat_trim,Alkalinity_uEqL,Aluminum_ugL,Arsenic_ugL,Chloride_mgL,Color_Apparent_PCU,Color_True_PCU,Conductivity_uScm,Copper_ugL,DO_mgL,DO_SAT_pct,E_coli_CFU100mL,Enterococcus_CFU100mL,Fecal_Coliform_CFU100mL,Hardness_mgL,Iron_ugL,Lead_ugL,Manganese_ugL,pH_None,Selenium_ugL,Sodium_mgL,Temperature_Water_DegC,TN_mgL,TP_mgL,Zinc_ugL,Al2O3Cat,AvgPredEC,BFICat,ClayCat,ElevCat,InorgNWetDep_2008Cat,IWI_v2_1,K2OCat,KffactCat,Na2OCat,OmCat,pcSLOPE,PctForest2019Ws,PctImp2019Ws,PctUrban2019Ws,PctWetland2019Ws,RockNCat,RunoffCat,SandCat,TmeanCat,WetIndexCat,WsAreaSqKm
TtID_10294802,10294802,Yes,Ref,Ref,99.984,14.66667,0.5,14.16667,9,,87.36364,1.06667,10.97273,98.18182,23.72727,,29.61905,4.1,53.33333,0.2,2.7,7.3,1,,11.52308,0.186,0.00883,6.66667,14.2075,40.26132597,46.0721,5.7967,411.289,4.8514,0.796070992,1.98,0.23,2.2759,1.2517,1.785078,89.73,0.6,1.14,3.91,174.1411,862,39.3096,6.921756227,636.3035,76.9257
TtID_10294806,10294806,No,Other,Other,,,,13.29167,,19.36364,84.07692,,9.35385,98.46154,,,,,,,,7.44615,,,15.26,0.21067,0.00609,,14.2746,39.47955801,46,5.8827,462.3884,4.9224,0.807188085,2.0515,0.23,2.0942,1.4569,2.537121,89.62,0.6,1.18,3.94,175.4768,862,39.863,6.786507823,689.7577,60.1317
TtID_10294808,10294808,No,Strs,Strs,,,,,,,,,,,170.68,,450,,,,,,,,,,,,13.0441,52.12099448,45.0535,5.73,177.933,4.5735,0.676474519,2.3307,0.2512,1.3005,0.64,1.072122,83.85,0.78,1.48,2.85,151.0006,862,42.7195,7.852938351,745.8554,240.5871
TtID_10294828,10294828,No,SomeStrs,Strs,166.64,,,2,,,64.76,,11.28,95.6,70.54,,44.66667,5.8,,,,7.04,,,8.66,,0.01,,13.8216,39.29005525,45.0509,5.71,294.7364,4.6164,0.722161642,1.5493,0.23,2.0293,1.04,2.581901,87.25,0.71,1.24,1.02,156.3966,862,38.76,7.311507214,699.5294,30.9177
TtID_10294846,10294846,No,SomeStrs,Strs,,,,,,,,,,,32.94,,,,,,,,,,,,,,13.2954,53.9038674,45.6623,4.1769,264.1033,4.5745,0.72415436,2.2621,0.2346,1.542,0.7808,0.27936,84.86,0.85,1.59,4.75,153.2932,862,53.5512,7.575825415,684.1147,1048.4631
TtID_10294852,10294852,No,Strs,Strs,188.85867,,,,,,40.13333,,9.86667,94.33333,90.8,,110,9.63333,,,,6.63333,,,14.5,,0.01167,,13.0249,53.89502762,44.649,5.726,263.6955,4.5737,0.741304521,2.3533,0.23,1.2582,1.0725,0.456231,85.1,0.83,1.54,5.15,150.5194,862,38.9063,7.481441649,681.9334,939.4956
TtID_10294884,10294884,No,Other,Other,416.6,,,3.01714,15.6,15,51.21176,,10.31111,93.44444,227.16364,,226.88462,15.35,,,,7.31176,,,11.72353,0.14582,0.01125,,14.471,38.95027624,46.2197,5.71,306.2896,4.6193,0.764185495,1.3324,0.23,2.3971,1.04,1.349062,89.95,0.39,0.71,2.92,176.9294,862,38.76,7.32785333,678.1545,71.3196
TtID_10294894,10294894,No,Other,Other,533.248,,,18,15.4,15,97.45882,,10.29444,96.83333,177.00667,,56.35294,12,,,,7.52353,,,13.2,0.2825,0.00973,,13.8135,40.35966851,46.0141,5.6766,246.2748,4.6053,0.744276584,2.4931,0.2535,2.2856,0.6565,3.148757,86.33,0.77,1.53,1.49,145.01,862,42.8359,7.592424083,716.7332,7.5078
TtID_10294898,10294898,No,Other,Other,,,,,,,93,,10.5,96,,,70,,,,,7.6,,,11.3,,,,14.5025,40.90607735,46.9197,5.71,316.436,4.7102,0.811525788,1.3135,0.23,2.3729,1.04,2.136391,89.6,0.23,0.35,5.11,161.0299,862,38.76,7.28020047,679.2047,16.6437
TtID_10294902,10294902,Yes,SubRef,Ref,399.936,,,1,,,73.33333,,9.97778,94.33333,153.6,,194.23077,8.1,,,,7.1,,,13.16667,,0.01,,13.7896,35.00662983,45.9473,6.039,385.217,4.6342,0.770156621,1.9081,0.23,1.7603,1.812,7.279031,86.29,1.07,1.81,1.06,159.7326,862,40.9819,7.077169177,697.0826,10.3239
TtID_10294928,10294928,No,HighStrs,Strs,1375.70578,10,0.5,15.41154,6,,151.96296,0.66667,10.77308,100.5,867.025,,739.13793,41.66667,60.33333,0.2,37.66667,7.5619,1,,13.42143,0.31167,0.02789,7.33333,11.3021,50.96243094,48.1594,4.0713,117.0986,4.5919,0.533140286,2.5261,0.1996,0.9084,0.8316,0.288501,74.98,4.21,7.36,3.35,128.9549,862,61.2325,8.329875793,813.6514,231.9534
TtID_10294934,10294934,Yes,SubRef,Ref,,,,,,,42.7,,10,90,,,22.5,,,,,7,,,10.8,,,,14.2075,34.1519337,47,5.71,357.9281,4.7133,0.806508207,1.98,0.23,2.2759,1.04,3.02835,85.04,0.53,1.01,6.04,151.6267,862,38.76,6.982811391,653.2778,13.4685
TtID_10294936,10294936,Yes,Ref,Ref,,,,,,,46.8,,10.5,94,24.2,,34.71429,,,,,7.3,,,10.9,,,,14.2075,40.30994475,47,5.71,389.4825,4.777,0.773996769,1.98,0.23,2.2759,1.04,3.299306,92.52,0.34,0.58,1.19,153.0246,862,38.7605,6.941141508,667.665,22.3227
TtID_10294942,10294942,No,Strs,Strs,666.56,,,6,15,15,136.2,,10.4381,98,86.1,,90.13793,16,,,,7.585,,,13.00952,0.43,0.0085,,12.4402,41.19668508,46.1652,5.5408,277.1685,4.5979,0.567427876,2.0406,0.2596,1.6333,0.6588,0.985311,81.18,0.93,1.79,1.81,154.992,862,42.7181,7.446416129,696.7937,47.2959
